Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 549, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 550, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 543, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 550, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 545, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 547, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 546, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 545, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 546, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 546, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 548, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 547, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 549, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 548, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 547, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 545, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 546, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 548, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 548, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 548, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 547, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 548, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 546, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 547, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 549, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 546, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 545, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 547, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 539, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 546, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 548, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 546, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 548, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 549, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 545, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 545, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 548, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 545, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 549, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 549, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 549, rescale: 1, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 543, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 550, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 549, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 543, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 549, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
Matthijs Muller:HE65:1: i: 0, sensor: 545, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 3
Matthijs Muller:HE65:1: i: 0, sensor: 544, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 4
Matthijs Muller:HE65:1: i: 0, sensor: 550, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 0
Matthijs Muller:HE65:1: i: 0, sensor: 548, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 1
Matthijs Muller:HE65:1: i: 0, sensor: 543, rescale: 0, deadzone: 577, release: 30, boundary: 577, debounced_state: 0, debounce_counter: 2
